utterance,qud,ccPrior,state,prob
pos-know-pos-dance,ccQUD,higher,1,1
pos-know-pos-dance,ccQUD,lower,1,1
pos-know-pos-dance,mcQUD,higher,1,1
pos-know-pos-dance,mcQUD,lower,1,1
pos-think-pos-dance,ccQUD,higher,1,0.6666666666666671
pos-think-pos-dance,ccQUD,higher,0,0.33333333333333354
pos-think-pos-dance,ccQUD,lower,0,0.6666666666666671
pos-think-pos-dance,ccQUD,lower,1,0.33333333333333354
pos-think-pos-dance,mcQUD,higher,1,0.6666666666666671
pos-think-pos-dance,mcQUD,higher,0,0.3333333333333329
pos-think-pos-dance,mcQUD,lower,0,0.6666666666666659
pos-think-pos-dance,mcQUD,lower,1,0.33333333333333415
neg-know-pos-dance,ccQUD,higher,0,0.5899311900706175
neg-know-pos-dance,ccQUD,higher,1,0.4100688099293819
neg-know-pos-dance,ccQUD,lower,0,0.851949685225813
neg-know-pos-dance,ccQUD,lower,1,0.14805031477418615
neg-know-pos-dance,mcQUD,higher,1,0.9735875413337601
neg-know-pos-dance,mcQUD,higher,0,0.02641245866623965
neg-know-pos-dance,mcQUD,lower,1,0.9021069534705551
neg-know-pos-dance,mcQUD,lower,0,0.09789304652944467
neg-think-pos-dance,ccQUD,higher,1,0.6666666666666659
neg-think-pos-dance,ccQUD,higher,0,0.33333333333333354
neg-think-pos-dance,ccQUD,lower,0,0.6666666666666671
neg-think-pos-dance,ccQUD,lower,1,0.3333333333333329
neg-think-pos-dance,mcQUD,higher,1,0.6666666666666665
neg-think-pos-dance,mcQUD,higher,0,0.33333333333333354
neg-think-pos-dance,mcQUD,lower,0,0.6666666666666665
neg-think-pos-dance,mcQUD,lower,1,0.33333333333333354
pos-bare-pos-dance,ccQUD,higher,1,1
pos-bare-pos-dance,ccQUD,lower,1,1
pos-bare-pos-dance,mcQUD,higher,1,1
pos-bare-pos-dance,mcQUD,lower,1,1
neg-bare-pos-dance,ccQUD,higher,0,1
neg-bare-pos-dance,ccQUD,lower,0,1
neg-bare-pos-dance,mcQUD,higher,0,1
neg-bare-pos-dance,mcQUD,lower,0,1
pos-TF-pos-dance,ccQUD,higher,0,1
pos-TF-pos-dance,ccQUD,lower,0,1
pos-TF-pos-dance,mcQUD,higher,0,1
pos-TF-pos-dance,mcQUD,lower,0,1
pos-FT-pos-dance,ccQUD,higher,1,1
pos-FT-pos-dance,ccQUD,lower,1,1
pos-FT-pos-dance,mcQUD,higher,1,1
pos-FT-pos-dance,mcQUD,lower,1,1
pos-FF-pos-dance,ccQUD,higher,0,1
pos-FF-pos-dance,ccQUD,lower,0,1
pos-FF-pos-dance,mcQUD,higher,0,1
pos-FF-pos-dance,mcQUD,lower,0,1
neg-TF-pos-dance,ccQUD,higher,1,0.8519496852258146
neg-TF-pos-dance,ccQUD,higher,0,0.14805031477418615
neg-TF-pos-dance,ccQUD,lower,1,0.5899311900706184
neg-TF-pos-dance,ccQUD,lower,0,0.4100688099293819
neg-TF-pos-dance,mcQUD,higher,0,0.9021069534705551
neg-TF-pos-dance,mcQUD,higher,1,0.09789304652944467
neg-TF-pos-dance,mcQUD,lower,0,0.9735875413337601
neg-TF-pos-dance,mcQUD,lower,1,0.02641245866623965
neg-FT-pos-dance,ccQUD,higher,0,0.5899311900706184
neg-FT-pos-dance,ccQUD,higher,1,0.41006880992938116
neg-FT-pos-dance,ccQUD,lower,0,0.8519496852258146
neg-FT-pos-dance,ccQUD,lower,1,0.14805031477418615
neg-FT-pos-dance,mcQUD,higher,1,0.9735875413337601
neg-FT-pos-dance,mcQUD,higher,0,0.02641245866623951
neg-FT-pos-dance,mcQUD,lower,1,0.9021069534705559
neg-FT-pos-dance,mcQUD,lower,0,0.09789304652944424
neg-FF-pos-dance,ccQUD,higher,1,0.8519496852258146
neg-FF-pos-dance,ccQUD,higher,0,0.14805031477418615
neg-FF-pos-dance,ccQUD,lower,1,0.5899311900706184
neg-FF-pos-dance,ccQUD,lower,0,0.41006880992938116
neg-FF-pos-dance,mcQUD,higher,0,0.9021069534705551
neg-FF-pos-dance,mcQUD,higher,1,0.0978930465294445
neg-FF-pos-dance,mcQUD,lower,0,0.9735875413337601
neg-FF-pos-dance,mcQUD,lower,1,0.026412458666239605
