utterance,qud,ccPrior,prob,state
pos-know-pos-dance,ccQUD,higher,0.9856635533445113,1
pos-know-pos-dance,ccQUD,higher,0.014336446655488848,0
pos-know-pos-dance,ccQUD,lower,0.9578601549120996,1
pos-know-pos-dance,ccQUD,lower,0.04213984508790034,0
pos-know-pos-dance,mcQUD,higher,0.9856635533445113,1
pos-know-pos-dance,mcQUD,higher,0.014336446655488848,0
pos-know-pos-dance,mcQUD,lower,0.9578601549120996,1
pos-know-pos-dance,mcQUD,lower,0.04213984508790034,0
pos-think-pos-dance,ccQUD,higher,0.5020850852460407,1
pos-think-pos-dance,ccQUD,higher,0.49791491475395927,0
pos-think-pos-dance,ccQUD,lower,0.6586053243792042,0
pos-think-pos-dance,ccQUD,lower,0.34139467562079584,1
pos-think-pos-dance,mcQUD,higher,0.6327590818282266,1
pos-think-pos-dance,mcQUD,higher,0.36724091817177346,0
pos-think-pos-dance,mcQUD,lower,0.5356671994299049,0
pos-think-pos-dance,mcQUD,lower,0.464332800570095,1
neg-know-pos-dance,ccQUD,higher,0.6776616472112567,0
neg-know-pos-dance,ccQUD,higher,0.32233835278874345,1
neg-know-pos-dance,ccQUD,lower,0.7948251595657638,0
neg-know-pos-dance,ccQUD,lower,0.20517484043423617,1
neg-know-pos-dance,mcQUD,higher,0.7592681160823707,1
neg-know-pos-dance,mcQUD,higher,0.24073188391762948,0
neg-know-pos-dance,mcQUD,lower,0.6119845102034975,1
neg-know-pos-dance,mcQUD,lower,0.3880154897965024,0
neg-think-pos-dance,ccQUD,higher,0.6751491444044864,0
neg-think-pos-dance,ccQUD,higher,0.32485085559551363,1
neg-think-pos-dance,ccQUD,lower,0.7925582288777043,0
neg-think-pos-dance,ccQUD,lower,0.20744177112229584,1
neg-think-pos-dance,mcQUD,higher,0.5992534310116874,0
neg-think-pos-dance,mcQUD,higher,0.4007465689883125,1
neg-think-pos-dance,mcQUD,lower,0.737841103203948,0
neg-think-pos-dance,mcQUD,lower,0.26215889679605187,1
pos-bare-pos-dance,ccQUD,higher,0.9856635533445113,1
pos-bare-pos-dance,ccQUD,higher,0.014336446655488848,0
pos-bare-pos-dance,ccQUD,lower,0.9578601549120996,1
pos-bare-pos-dance,ccQUD,lower,0.04213984508790034,0
pos-bare-pos-dance,mcQUD,higher,0.9856635533445113,1
pos-bare-pos-dance,mcQUD,higher,0.014336446655488848,0
pos-bare-pos-dance,mcQUD,lower,0.9578601549120996,1
pos-bare-pos-dance,mcQUD,lower,0.04213984508790034,0
neg-bare-pos-dance,ccQUD,higher,0.6678428381140584,0
neg-bare-pos-dance,ccQUD,higher,0.3321571618859416,1
neg-bare-pos-dance,ccQUD,lower,0.7955741829004231,0
neg-bare-pos-dance,ccQUD,lower,0.20442581709957694,1
neg-bare-pos-dance,mcQUD,higher,0.6678428381140584,0
neg-bare-pos-dance,mcQUD,higher,0.3321571618859416,1
neg-bare-pos-dance,mcQUD,lower,0.7955741829004231,0
neg-bare-pos-dance,mcQUD,lower,0.20442581709957694,1
